Training: 2023-05-04 13:56:23,311-rank_id: 0
Training: 2023-05-04 13:59:43,608-: loss                     arcface
Training: 2023-05-04 13:59:43,609-: network                  r100
Training: 2023-05-04 13:59:43,609-: resume                   True
Training: 2023-05-04 13:59:43,609-: output                   work_dirs/ms1mv3_r100_lr02
Training: 2023-05-04 13:59:43,609-: embedding_size           512
Training: 2023-05-04 13:59:43,609-: sample_rate              1.0
Training: 2023-05-04 13:59:43,609-: fp16                     True
Training: 2023-05-04 13:59:43,609-: momentum                 0.9
Training: 2023-05-04 13:59:43,609-: weight_decay             0.0005
Training: 2023-05-04 13:59:43,609-: batch_size               256
Training: 2023-05-04 13:59:43,609-: lr                       0.02
Training: 2023-05-04 13:59:43,609-: dali                     False
Training: 2023-05-04 13:59:43,609-: verbose                  10000
Training: 2023-05-04 13:59:43,609-: frequent                 10
Training: 2023-05-04 13:59:43,609-: score                    None
Training: 2023-05-04 13:59:43,609-: rec                      ../../../../InsightFace_Pytorch/data/faces_emore/
Training: 2023-05-04 13:59:43,609-: num_classes              85742
Training: 2023-05-04 13:59:43,609-: num_image                5822653
Training: 2023-05-04 13:59:43,609-: num_epoch                25
Training: 2023-05-04 13:59:43,609-: warmup_epoch             0
Training: 2023-05-04 13:59:43,609-: val_targets              ['lfw', 'cfp_fp', 'agedb_30', 'calfw', 'cplfw']
Training: 2023-05-04 13:59:43,609-: warmup_step              0
Training: 2023-05-04 13:59:43,609-: total_step               142150
Training: 2023-05-04 14:02:08,086-Reducer buckets have been rebuilt in this iteration.
Training: 2023-05-04 14:02:18,322-Speed 1317.27 samples/sec  Loss 126.6422  LearningRate 0.1999  ProxyLR: 9.9972  Epoch: 0  Global Step: 20   Fp16 Grad Scale: 16384  Required: 46 hours
Training: 2023-05-04 14:02:27,276-Speed 1143.69 samples/sec  Loss 122.6271  LearningRate 0.1999  ProxyLR: 9.9958  Epoch: 0  Global Step: 30   Fp16 Grad Scale: 16384  Required: 42 hours
Training: 2023-05-04 14:02:35,352-Speed 1268.03 samples/sec  Loss 123.1818  LearningRate 0.1999  ProxyLR: 9.9944  Epoch: 0  Global Step: 40   Fp16 Grad Scale: 8192  Required: 40 hours
